LINHA;STATUS;NÚMERO PEDIDO;PEDIDO VINCULADO;ORIGEM;LOGIN OPERADORA;CLIENTE;CNPJ;Cidade;Estado;DDD;USUÁRIO PROPRIETÁRIO;USUÁRIO TAGS;USUÁRIO ADM;CONSULTOR ;EQUIPE;ETAPA;DATA CADASTRO;DATA ATUALIZAÇÃO;SOLICITAÇÃO;NEGOCIAÇÃO;NOTAS FISCAIS;REVISÃO;ITEM;TELEFONE;ETAPA ITEM;PORTABILIDADE;PRODUTO;Valor;Quantidade;Data Referencia;Origem;Data InstalaÃ§Ã£o;PerÃ­odo;Cidade InstalaÃ§Ã£o;Estado InstalaÃ§Ã£o;Rpon;InstÃ¢ncia;Tags
Móvel Altas - Totais;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;PORTADO;NOVO;OV: /NF:;;;61999359984;Concluído;29/01/2024;SMCRPMASS6GB;41,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
Movel Altas - Portabilidade;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;PORTADO;NOVO;OV: /NF:;;;61998015118;Concluído;29/01/2024;SMCRPMASS6GB;41,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
Móvel Altas - Totais;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;PORTADO;NOVO;OV: /NF:;;;61998015118;Concluído;29/01/2024;SMCRPMASS6GB;41,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
Movel Altas - Portabilidade;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;PORTADO;NOVO;OV: /NF:;;;61996733591;Concluído;29/01/2024;SMCRPMASS20GB;61,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
Móvel Altas - Totais;Executados;1-873251146455;;42947690;DFP4059-001;SERGIO FERREIRA DE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA;4,06E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Executado parcialmente (VIVO-CORP);30/01/2024;30/01/2024 13:42;PORTADO;NOVO;OV: /NF:;;;61996733591;Concluído;29/01/2024;SMCRPMASS20GB;61,99;1;29/01/2024;VIVO-CORP;;;;;;;#MOVEL,#SOHO
Móvel - Migração;Executados;1-B3EUUJQ3;;42344803;DFP4059-001;JUNIO LARA DA CRUZ 01205531122;2,27E+13;BRASILIA;DF;61;LUCAS DE ARAUJO TAVARES;#interno;;LUCAS;;Logistica concluÃ­da (VIVO-CORP);18/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;61984972709;Concluído;;SMCRPMASS100GB;115,49;1;10/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-B3EUUJQ3;;42344803;DFP4059-001;JUNIO LARA DA CRUZ 01205531122;2,27E+13;BRASILIA;DF;61;LUCAS DE ARAUJO TAVARES;#interno;;LUCAS;;Logistica concluÃ­da (VIVO-CORP);18/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;61996486686;Concluído;;SMCRPMASS30GB;71,99;1;10/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Movel Altas - Portabilidade;Executados;1-B3NNJW1P;;42282575;DFP4059-001;FERNANDA GOMES DE CARVALHO 05311474106;4,58E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Logistica concluÃ­da (VIVO-CORP);21/12/2023;30/01/2024 13:40;PORTADO;NOVO;OV: 1030362767/NF:2367850;;;61996301712;Concluído;29/01/2024;SMCRPMASS6GB;41,99;1;17/01/2024;VIVO-CORP;;;;;;;#MOVEL
Móvel Altas - Totais;Executados;1-B3NNJW1P;;42282575;DFP4059-001;FERNANDA GOMES DE CARVALHO 05311474106;4,58E+13;BRASILIA;DF;61;CAIQUE RIBEIRO GUEDES;;;CAIQUE;;Logistica concluÃ­da (VIVO-CORP);21/12/2023;30/01/2024 13:40;PORTADO;NOVO;OV: 1030362767/NF:2367850;;;61996301712;Concluído;29/01/2024;SMCRPMASS6GB;41,99;1;17/01/2024;VIVO-CORP;;;;;;;#MOVEL
Móvel - Migração;Executados;1-870362870908;;42478712;DFP4059-001;CSS REPRESENTACOES LTDA;2,36E+12;APARECIDA DE GOIANIA;GO;62;THALES HENRIQUE DE CARVALHO PAIVA;;;THALES;;Logistica concluÃ­da (VIVO-CORP);27/12/2023;30/01/2024 13:42;MIGRACAO PADRAO;BASE;OV: /NF:;;;62996184089;Concluído;;SMCRPMASS15GB;56,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870362870908;;42478712;DFP4059-001;CSS REPRESENTACOES LTDA;2,36E+12;APARECIDA DE GOIANIA;GO;62;THALES HENRIQUE DE CARVALHO PAIVA;;;THALES;;Logistica concluÃ­da (VIVO-CORP);27/12/2023;30/01/2024 13:42;MIGRACAO PADRAO;BASE;OV: /NF:;;;62998379622;Concluído;;SMCRPMASS1GB;29,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870362870908;;42478712;DFP4059-001;CSS REPRESENTACOES LTDA;2,36E+12;APARECIDA DE GOIANIA;GO;62;THALES HENRIQUE DE CARVALHO PAIVA;;;THALES;;Logistica concluÃ­da (VIVO-CORP);27/12/2023;30/01/2024 13:42;MIGRACAO PADRAO;BASE;OV: /NF:;;;62999726072;Concluído;;SMCRPMASS6GB;41,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870362870908;;42478712;DFP4059-001;CSS REPRESENTACOES LTDA;2,36E+12;APARECIDA DE GOIANIA;GO;62;THALES HENRIQUE DE CARVALHO PAIVA;;;THALES;;Logistica concluÃ­da (VIVO-CORP);27/12/2023;30/01/2024 13:42;MIGRACAO PADRAO;BASE;OV: /NF:;;;62996115904;Concluído;;SMCRPMASS10GB;44,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870362870908;;42478712;DFP4059-001;CSS REPRESENTACOES LTDA;2,36E+12;APARECIDA DE GOIANIA;GO;62;THALES HENRIQUE DE CARVALHO PAIVA;;;THALES;;Logistica concluÃ­da (VIVO-CORP);27/12/2023;30/01/2024 13:42;MIGRACAO PADRAO;BASE;OV: /NF:;;;62999726569;Concluído;;SMCRPMASS50GB;105,49;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91988978884;Concluído;;SMCRPMASS60GB;108,49;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91999029775;Concluído;;SMCRPMASS60GB;108,49;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91988978885;Concluído;;SMCRPMASS1GB;29,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91988975457;Concluído;;SMCRPMASS1GB;29,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91999781352;Concluído;;SMCRPMASS1GB;29,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91988979700;Concluído;;SMCRPMASS3GB;34,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
TI;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91999029775;Concluído;;CloudCo;0;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
TI;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91988978884;Concluído;;CloudCo;0;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91991868034;Concluído;;SMCRPMASS60GB;108,49;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91988978092;Concluído;;SMCRPMASS1GB;29,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
TI;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91991868034;Concluído;;CloudCo;0;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870440554770;;42414078;DFP4059-001;AGROPECUARIA SANTA LUCIA LTDA;5,35E+12;PARAGOMINAS;PA;91;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);28/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;91988973801;Concluído;;SMCRPMASS1GB;29,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870579166353;;42496708;DFP4059-001;OLIVEIRA & PEDROSO ASSESSORIA EMPRESARIAL E SINDICAL LTDA;2,85E+12;BRASILIA;DF;61;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:41;MIGRACAO PADRAO;BASE;OV: /NF:;;;61985760075;Concluído;;SMCRPMASS1GB;29,99;1;02/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870579166353;;42496708;DFP4059-001;OLIVEIRA & PEDROSO ASSESSORIA EMPRESARIAL E SINDICAL LTDA;2,85E+12;BRASILIA;DF;61;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:41;MIGRACAO PADRAO;BASE;OV: /NF:;;;61999822045;Concluído;;SMCRPMASS1GB;29,99;1;02/01/2024;VIVO-CORP;;;;;;;#movelMigracao
TI;Executados;1-870579166353;;42496708;DFP4059-001;OLIVEIRA & PEDROSO ASSESSORIA EMPRESARIAL E SINDICAL LTDA;2,85E+12;BRASILIA;DF;61;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:41;MIGRACAO PADRAO;BASE;OV: /NF:;;;61985760076;Concluído;;CloudCo;0;1;02/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870579166353;;42496708;DFP4059-001;OLIVEIRA & PEDROSO ASSESSORIA EMPRESARIAL E SINDICAL LTDA;2,85E+12;BRASILIA;DF;61;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:41;MIGRACAO PADRAO;BASE;OV: /NF:;;;61985760076;Concluído;;SMCRPMASS100GB;115,49;1;02/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870579166353;;42496708;DFP4059-001;OLIVEIRA & PEDROSO ASSESSORIA EMPRESARIAL E SINDICAL LTDA;2,85E+12;BRASILIA;DF;61;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:41;MIGRACAO PADRAO;BASE;OV: /NF:;;;61999842793;Concluído;;SMCRPMASS3GB;34,99;1;02/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870535411885;;42494829;DFP4059-001;PORTAL AGRICOLA PRODUTOS AGROPECUARIOS LTDA;7,47E+12;FORMOSA;GO;61;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;61984064809;Concluído;;SMCRPMASS40GB;81,99;1;02/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração PP;Executados;1-870535411885;;42494829;DFP4059-001;PORTAL AGRICOLA PRODUTOS AGROPECUARIOS LTDA;7,47E+12;FORMOSA;GO;61;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:40;MIGRACAO PP;BASE;OV: /NF:;;;61996999087;Concluído;;SMCRPMASS100GB;115,49;1;02/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870535411885;;42494829;DFP4059-001;PORTAL AGRICOLA PRODUTOS AGROPECUARIOS LTDA;7,47E+12;FORMOSA;GO;61;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;61999364175;Concluído;;SMCRPMASS1GB;29,99;1;02/01/2024;VIVO-CORP;;;;;;;#movelMigracao
TI;Executados;1-870535411885;;42494829;DFP4059-001;PORTAL AGRICOLA PRODUTOS AGROPECUARIOS LTDA;7,47E+12;FORMOSA;GO;61;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:40;MIGRACAO PP;BASE;OV: /NF:;;;61996999087;Concluído;;CloudCo;0;1;02/01/2024;VIVO-CORP;;;;;;;#movelMigracao
TI;Executados;1-870535411885;;42494829;DFP4059-001;PORTAL AGRICOLA PRODUTOS AGROPECUARIOS LTDA;7,47E+12;FORMOSA;GO;61;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;61984064809;Concluído;;CloudCo;0;1;02/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870535411885;;42494829;DFP4059-001;PORTAL AGRICOLA PRODUTOS AGROPECUARIOS LTDA;7,47E+12;FORMOSA;GO;61;ELIAB NASCIMENTO DE SOUZA SOBREIRA;#posVendas;;ELIAB;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:40;MIGRACAO PADRAO;BASE;OV: /NF:;;;61998322040;Concluído;;SMCRPMASS1GB;29,99;1;02/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração PP;Executados;1-870549199626;;42490454;DFP4059-001;ZEMARCO RIBEIRO LEITE;1,06E+13;BRASILIA;DF;61;THALES HENRIQUE DE CARVALHO PAIVA;;;Andre;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:41;MIGRACAO PP;NOVO;OV: /NF:;;;61993807800;Concluído;;SMCRPMASS1GB;29,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870549199626;;42490454;DFP4059-001;ZEMARCO RIBEIRO LEITE;1,06E+13;BRASILIA;DF;61;THALES HENRIQUE DE CARVALHO PAIVA;;;Andre;;Logistica concluÃ­da (VIVO-CORP);29/12/2023;30/01/2024 13:41;MIGRACAO PADRAO;NOVO;OV: /NF:;;;61992175938;Concluído;;SMCRPMASS40GB;81,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870717892673;;42511780;DFP4059-001;BAZZO CORRETORA DE SEGUROS LTDA;3,84E+13;BRASILIA;DF;61;RAFAELLA FERNANDES GOMIDES;;;Andre;;Logistica concluÃ­da (VIVO-CORP);03/01/2024;30/01/2024 13:41;MIGRACAO PADRAO;BASE;OV: /NF:;;;54996281020;Concluído;;SMCRPMASS12GB;49,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870717892673;;42511780;DFP4059-001;BAZZO CORRETORA DE SEGUROS LTDA;3,84E+13;BRASILIA;DF;61;RAFAELLA FERNANDES GOMIDES;;;Andre;;Logistica concluÃ­da (VIVO-CORP);03/01/2024;30/01/2024 13:41;MIGRACAO PADRAO;BASE;OV: /NF:;;;61998787722;Concluído;;SMCRPMASS12GB;49,99;1;03/01/2024;VIVO-CORP;;;;;;;#movelMigracao
Móvel - Migração;Executados;1-870795259078;;42511493;DFP4059-001;TRANSPORTADORA SILVA COUTO LTDA;1,83E+12;BRASILIA;DF;61;Deivid Alves Rodrigues;;;ANA;;Logistica concluÃ­da (VIVO-CORP);03/01/2024;30/01/2024 13:42;MIGRACAO PADRAO;BASE;OV: /NF:;;;61999847410;Concluído;;SMCRPMASS10GB;44,99;1;03/01/2024;VIVO-CORP;;;;;;;#MOVEL,#movelMigracao
Móvel - Migração;Executados;1-870795259078;;42511493;DFP4059-001;TRANSPORTADORA SILVA COUTO LTDA;1,83E+12;BRASILIA;DF;61;Deivid Alves Rodrigues;;;ANA;;Logistica concluÃ­da (VIVO-CORP);03/01/2024;30/01/2024 13:42;MIGRACAO PADRAO;BASE;OV: /NF:;;;61999589868;Concluído;;SMCRPMASS1GB;29,99;1;03/01/2024;VIVO-CORP;;;;;;;#MOVEL,#movelMigracao
Móvel - Migração;Executados;1-870795259078;;42511493;DFP4059-001;TRANSPORTADORA SILVA COUTO LTDA;1,83E+12;BRASILIA;DF;61;Deivid Alves Rodrigues;;;ANA;;Logistica concluÃ­da (VIVO-CORP);03/01/2024;30/01/2024 13:42;MIGRACAO PADRAO;BASE;OV: /NF:;;;61999262310;Concluído;;SMCRPMASS1GB;29,99;1;03/01/2024;VIVO-CORP;;;;;;;#MOVEL,#movelMigracao
